Codice_Comune,Nome_Comune,Popolazione,Superficie_Kmq,Anno,Totale_Incidenti,Feriti,Morti,Tasso_Incidenti_10k,Densita_Incidenti_Kmq
001001,Agliè,2545,13.1462,2019,3,5,0,11.79,0.23
001002,Airasca,3633,15.7393,2019,6,12,0,16.52,0.38
001003,Ala di Stura,459,46.3315,2019,0,0,0,0.0,0.0
001004,Albiano d'Ivrea,1638,11.7314,2019,3,3,1,18.32,0.26
001006,Almese,6355,17.8756,2019,4,7,0,6.29,0.22
001007,Alpette,235,5.6261,2019,0,0,0,0.0,0.0
001008,Alpignano,16484,11.9193,2019,22,29,1,13.35,1.85
001009,Andezeno,2013,7.486,2019,1,4,0,4.97,0.13
001010,Andrate,488,9.3085,2019,0,0,0,0.0,0.0
001011,Angrogna,838,38.8782,2019,0,0,0,0.0,0.0
001012,Arignano,1080,8.1668,2019,1,2,0,9.26,0.12
001013,Avigliana,12351,23.2172,2019,27,36,0,21.86,1.16
001014,Azeglio,1235,9.9605,2019,3,3,0,24.29,0.3
001015,Bairo,787,7.0859,2019,3,5,0,38.12,0.42
001016,Balangero,3064,13.0063,2019,3,3,0,9.79,0.23
001017,Baldissero Canavese,533,4.5064,2019,1,4,0,18.76,0.22
001018,Baldissero Torinese,3671,15.4054,2019,2,2,0,5.45,0.13
001019,Balme,110,62.7105,2019,0,0,0,0.0,0.0
001020,Banchette,3112,2.0289,2019,4,7,1,12.85,1.97
001021,Barbania,1585,12.8027,2019,0,0,0,0.0,0.0
001022,Bardonecchia,3078,132.203,2019,4,5,1,13.0,0.03
001023,Barone Canavese,559,3.9864,2019,4,5,0,71.56,1.0
001024,Beinasco,17532,6.7343,2019,43,64,0,24.53,6.39
001025,Bibiana,3392,18.5979,2019,2,2,0,5.9,0.11
001026,Bobbio Pellice,537,94.0819,2019,0,0,0,0.0,0.0
001027,Bollengo,2097,14.2234,2019,3,5,0,14.31,0.21
001028,Borgaro Torinese,11773,11.1039,2019,11,11,0,9.34,0.99
001029,Borgiallo,592,6.9648,2019,0,0,0,0.0,0.0
001030,Borgofranco d'Ivrea,3590,13.4189,2019,5,7,0,13.93,0.37
